0000-0001-5069-4758,"('0000-0002-8406-5121', 0.2307692307692307)","('0000-0002-1802-4217', 0.0769230769230769)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5073-1707,"('0000-0001-8440-0658', 0.02)","('0000-0001-6878-5199', 0.02)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5073-6954,"('0000-0002-8554-8440', 0.0909090909090909)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5075-5792,"('0000-0002-9763-5023', 0.05)","('0000-0002-4259-456X', 0.05)","('0000-0001-5222-4987', 0.05)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5076-2917,"('0000-0003-0508-4568', 0.0769230769230769)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5076-8729,"('0000-0003-0776-8488', 0.1739130434782608)","('0000-0003-4459-9142', 0.0434782608695652)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5079-1953,"('0000-0001-7333-8123', 0.25)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5080-9535,"('0000-0002-9882-7908', 0.0303030303030303)","('0000-0003-3301-7899', 0.0151515151515151)","('0000-0002-2584-7502', 0.0151515151515151)","('0000-0002-2187-9419', 0.0151515151515151)","('0000-0001-8009-5334', 0.0151515151515151)"
0000-0001-5085-0909,"('0000-0001-7093-8289', 0.1666666666666666)","('0000-0002-4659-564X', 0.0555555555555555)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5085-861X,"('0000-0002-6679-3811', 0.7142857142857143)","('0000-0002-0095-1952', 0.7142857142857143)","('0000-0002-4900-2897', 0.4285714285714285)","('0000-0001-7990-3592', 0.4285714285714285)","('0000-0002-5566-2146', 0.2857142857142857)"
0000-0001-5088-2679,"('0000-0003-3693-6735', 0.3333333333333333)","('0000-0002-4005-2513', 0.1666666666666666)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5089-5429,"('0000-0002-6943-8647', 1.0)","('0000-0002-5506-5413', 0.2307692307692307)","('0000-0002-5874-7284', 0.0769230769230769)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5095-1443,"('0000-0003-1419-1832', 0.0303030303030303)","('0000-0002-6444-6584', 0.0303030303030303)","('0000-0002-2893-0969', 0.0303030303030303)","('0000-0002-1720-8209', 0.0303030303030303)","('0000-0001-5000-223X', 0.0)"
0000-0001-5096-7488,"('0000-0003-3162-2091', 0.04)","('0000-0003-2825-9711', 0.04)","('0000-0003-2478-683X', 0.04)","('0000-0002-9142-7848', 0.04)","('0000-0002-0885-0793', 0.04)"
0000-0001-5099-8495,"('0000-0002-7069-5958', 0.4418604651162791)","('0000-0001-9617-5304', 0.0697674418604651)","('0000-0003-2394-6504', 0.0232558139534883)","('0000-0002-6090-3100', 0.0232558139534883)","('0000-0002-5328-7741', 0.0232558139534883)"
0000-0001-5102-8706,"('0000-0002-6933-5154', 0.0454545454545454)","('0000-0003-4931-752X', 0.0)","('0000-0001-5026-9815', 0.0)","('0000-0003-4998-9406', 0.0)","('0000-0001-5000-223X', 0.0)"
0000-0001-5104-9881,"('0000-0002-4295-6129', 0.0677966101694915)","('0000-0003-1209-4721', 0.0169491525423728)","('0000-0001-9075-5121', 0.0169491525423728)","('0000-0001-5678-2134', 0.0169491525423728)","('0000-0001-5000-223X', 0.0)"
