,codigo_autor,codigo_coautor,num_publicaciones
21673,0000-0002-1651-567X,0000-0002-5907-6929,1
21674,0000-0001-7774-548X,0000-0001-8493-1168,2
21675,0000-0001-8493-1168,0000-0001-7774-548X,2
21676,0000-0002-2331-0904,0000-0002-9944-1097,1
21677,0000-0002-9944-1097,0000-0002-2331-0904,1
21678,0000-0002-4393-0510,0000-0002-5764-5788,1
21679,0000-0002-4393-0510,0000-0002-6549-8589,1
21680,0000-0003-2025-5302,0000-0002-5764-5788,1
21681,0000-0002-5764-5788,0000-0002-4393-0510,1
21682,0000-0002-5764-5788,0000-0003-2025-5302,1
21683,0000-0002-5764-5788,0000-0002-4699-5627,1
21684,0000-0002-5764-5788,0000-0002-4605-435X,2
21685,0000-0002-5764-5788,0000-0002-6710-8708,1
21686,0000-0002-5764-5788,0000-0001-9921-4305,1
21687,0000-0002-5764-5788,0000-0002-1407-8314,1
21688,0000-0002-5764-5788,0000-0002-5635-1614,1
21689,0000-0002-5764-5788,0000-0002-6549-8589,1
21690,0000-0002-4699-5627,0000-0002-5764-5788,1
21691,0000-0002-4605-435X,0000-0002-5764-5788,2
21692,0000-0002-6710-8708,0000-0002-5764-5788,1
21693,0000-0001-9921-4305,0000-0002-5764-5788,1
21694,0000-0002-1407-8314,0000-0002-5764-5788,1
21695,0000-0002-5635-1614,0000-0002-5764-5788,1
21696,0000-0002-6549-8589,0000-0002-4393-0510,1
21697,0000-0002-6549-8589,0000-0002-5764-5788,1
21698,0000-0002-9843-8443,0000-0002-3102-1918,1
21699,0000-0002-3102-1918,0000-0002-9843-8443,1
21700,0000-0003-1445-3556,0000-0003-4662-6933,1
21701,0000-0003-4662-6933,0000-0003-1445-3556,1
21702,0000-0003-2125-9743,0000-0003-0012-4006,3
21703,0000-0003-0012-4006,0000-0003-2125-9743,3
21704,0000-0001-8880-6524,0000-0002-7638-7956,5
21705,0000-0002-7638-7956,0000-0001-8880-6524,5
21706,0000-0002-2310-8300,0000-0001-5371-4427,1
21707,0000-0001-5371-4427,0000-0002-2310-8300,1
21708,0000-0003-2128-6864,0000-0001-8026-3369,1
21709,0000-0001-8026-3369,0000-0003-2128-6864,1
21710,0000-0002-0400-9542,0000-0002-7518-6247,1
21711,0000-0002-7518-6247,0000-0002-0400-9542,1
21712,0000-0003-2614-0303,0000-0001-9998-0464,2
21713,0000-0001-9998-0464,0000-0003-2614-0303,2
21714,0000-0001-6131-3981,0000-0002-1236-6419,1
21715,0000-0002-1236-6419,0000-0001-6131-3981,1
21716,0000-0001-8491-4288,0000-0001-8104-1493,1
21717,0000-0002-5736-373X,0000-0001-8104-1493,1
21718,0000-0001-8104-1493,0000-0001-8491-4288,1
21719,0000-0001-8104-1493,0000-0002-5736-373X,1
21720,0000-0002-0339-4944,0000-0002-2621-7924,1
21721,0000-0002-2621-7924,0000-0002-0339-4944,1
21722,0000-0001-6474-8227,0000-0002-9638-2060,1
21723,0000-0001-6474-8227,0000-0001-6753-8938,1
21724,0000-0002-9638-2060,0000-0001-6474-8227,1
21725,0000-0002-9638-2060,0000-0001-6753-8938,1
21726,0000-0001-6753-8938,0000-0001-6474-8227,1
21727,0000-0001-6753-8938,0000-0002-9638-2060,1
21728,0000-0003-3566-9399,0000-0003-2139-470X,1
21729,0000-0003-2139-470X,0000-0003-3566-9399,1
21730,0000-0001-7786-7030,0000-0002-6304-1710,1
21731,0000-0001-7786-7030,0000-0002-5801-1859,1
21732,0000-0002-6304-1710,0000-0001-7786-7030,1
21733,0000-0002-6304-1710,0000-0002-5801-1859,1
21734,0000-0002-5801-1859,0000-0001-7786-7030,1
21735,0000-0002-5801-1859,0000-0002-6304-1710,1
21736,0000-0002-7686-6092,0000-0002-5373-0985,3
21737,0000-0002-5373-0985,0000-0002-7686-6092,3
21738,0000-0001-6131-3981,0000-0003-4076-2336,1
21739,0000-0003-4076-2336,0000-0001-6131-3981,1
21740,0000-0001-6780-9259,0000-0002-8430-3214,1
21741,0000-0002-8430-3214,0000-0001-6780-9259,1
21742,0000-0002-8430-3214,0000-0001-9689-769X,3
21743,0000-0001-9689-769X,0000-0002-8430-3214,3
21744,0000-0002-0771-4191,0000-0002-9047-4538,2
21745,0000-0002-9047-4538,0000-0002-0771-4191,2
21746,0000-0001-7080-7983,0000-0002-6300-2068,2
21747,0000-0002-6300-2068,0000-0001-7080-7983,2
21748,0000-0001-9400-6574,0000-0002-9480-379X,1
21749,0000-0002-9480-379X,0000-0001-9400-6574,1
21750,0000-0001-8498-0664,0000-0002-2500-4548,4
21751,0000-0002-2500-4548,0000-0001-8498-0664,4
21752,0000-0002-0579-3279,0000-0003-0173-5319,1
21753,0000-0003-0173-5319,0000-0002-0579-3279,1
21754,0000-0002-1975-1141,0000-0002-8342-660X,1
21755,0000-0002-8342-660X,0000-0002-1975-1141,1
21756,0000-0002-4041-3702,0000-0002-3114-3763,1
21757,0000-0002-3114-3763,0000-0002-4041-3702,1
21758,0000-0002-9502-1781,0000-0003-1451-8292,1
21759,0000-0003-1451-8292,0000-0002-9502-1781,1
21760,0000-0002-5764-5788,0000-0001-9435-9441,1
21761,0000-0001-9435-9441,0000-0002-5764-5788,1
21762,0000-0002-8908-6968,0000-0002-1407-8314,1
21763,0000-0002-1407-8314,0000-0002-8908-6968,1
21764,0000-0001-6294-737X,0000-0002-7552-0655,1
21765,0000-0002-7552-0655,0000-0001-6294-737X,1
21766,0000-0001-9540-3010,0000-0003-3428-3507,3
21767,0000-0003-3428-3507,0000-0001-9540-3010,3
21768,0000-0002-2325-1027,0000-0002-4743-619X,2
21769,0000-0001-9461-7981,0000-0002-4743-619X,4
21770,0000-0002-4743-619X,0000-0002-2325-1027,2
21771,0000-0002-4743-619X,0000-0001-9461-7981,4
21772,0000-0002-9511-2173,0000-0003-0471-0053,3
21773,0000-0002-9511-2173,0000-0002-5710-4228,3
21774,0000-0003-0471-0053,0000-0002-9511-2173,3
21775,0000-0002-5710-4228,0000-0002-9511-2173,3
21776,0000-0002-2356-4509,0000-0001-6594-6946,2
21777,0000-0001-6594-6946,0000-0002-2356-4509,2
21778,0000-0002-9405-9550,0000-0003-2778-2789,2
21779,0000-0003-2778-2789,0000-0002-9405-9550,2
21780,0000-0003-2778-2789,0000-0002-5088-6343,2
21781,0000-0002-5088-6343,0000-0003-2778-2789,2
21782,0000-0002-3517-732X,0000-0002-3002-8237,3
21783,0000-0002-3002-8237,0000-0002-3517-732X,3
21784,0000-0002-9084-2636,0000-0002-3130-9372,1
21785,0000-0002-3130-9372,0000-0002-9084-2636,1
21786,0000-0002-6551-1827,0000-0001-9737-337X,3
21787,0000-0001-9737-337X,0000-0002-6551-1827,3
21788,0000-0002-5156-7539,0000-0002-5881-8003,1
21789,0000-0002-5881-8003,0000-0002-5156-7539,1
21790,0000-0002-3278-1337,0000-0001-7677-5070,2
21791,0000-0001-7677-5070,0000-0002-3278-1337,2
21792,0000-0001-6071-6922,0000-0002-6580-6721,2
21793,0000-0002-6580-6721,0000-0001-6071-6922,2
21794,0000-0003-4277-7048,0000-0001-9014-3790,1
21795,0000-0001-9014-3790,0000-0003-4277-7048,1
21796,0000-0002-4634-8630,0000-0002-5062-3164,1
21797,0000-0002-5062-3164,0000-0002-4634-8630,1
21798,0000-0002-9193-9712,0000-0001-9878-1180,6
21799,0000-0001-9878-1180,0000-0002-9193-9712,6
21800,0000-0001-6540-5699,0000-0002-0065-2899,3
21801,0000-0002-0065-2899,0000-0001-6540-5699,3
21802,0000-0002-7307-0291,0000-0001-9360-3334,1
21803,0000-0001-9360-3334,0000-0002-7307-0291,1
21804,0000-0002-0808-1875,0000-0002-0747-7317,2
21805,0000-0002-6841-3624,0000-0002-0747-7317,1
21806,0000-0002-0747-7317,0000-0002-0808-1875,2
21807,0000-0002-0747-7317,0000-0002-6841-3624,1
21808,0000-0002-8586-0469,0000-0002-6763-2841,1
21809,0000-0002-6763-2841,0000-0002-8586-0469,1
21810,0000-0001-7679-8731,0000-0003-1047-1415,2
21811,0000-0003-1047-1415,0000-0001-7679-8731,2
21812,0000-0002-4269-0041,0000-0003-1001-4265,1
21813,0000-0003-1001-4265,0000-0002-4269-0041,1
21814,0000-0003-1001-4265,0000-0002-0066-2827,1
21815,0000-0002-0066-2827,0000-0003-1001-4265,1
21816,0000-0003-4359-848X,0000-0001-6167-6926,3
21817,0000-0001-6167-6926,0000-0003-4359-848X,3
21818,0000-0001-6167-6926,0000-0003-3761-3217,2
21819,0000-0003-3761-3217,0000-0001-6167-6926,2
21820,0000-0001-8514-1707,0000-0002-5470-5191,1
21821,0000-0002-5470-5191,0000-0001-8514-1707,1
21822,0000-0002-7345-6063,0000-0002-1178-4053,1
21823,0000-0002-1178-4053,0000-0002-7345-6063,1
21824,0000-0002-7069-5958,0000-0003-3632-5512,1
21825,0000-0002-7069-5958,0000-0001-5306-5690,1
21826,0000-0003-3632-5512,0000-0002-7069-5958,1
21827,0000-0001-5306-5690,0000-0002-7069-5958,1
21828,0000-0001-9432-9701,0000-0003-3065-0541,1
21829,0000-0003-3065-0541,0000-0001-9432-9701,1
21830,0000-0001-7483-046X,0000-0003-0012-4006,3
21831,0000-0003-0012-4006,0000-0001-7483-046X,3
21832,0000-0002-6113-2694,0000-0002-6675-9429,1
21833,0000-0002-6675-9429,0000-0002-6113-2694,1
21834,0000-0003-0261-4375,0000-0002-7836-5881,1
21835,0000-0003-0261-4375,0000-0003-0069-6004,1
21836,0000-0003-0261-4375,0000-0002-0290-0315,1
21837,0000-0003-0261-4375,0000-0002-3128-9439,1
21838,0000-0002-7836-5881,0000-0003-0261-4375,1
21839,0000-0002-7836-5881,0000-0003-0069-6004,1
21840,0000-0002-7836-5881,0000-0002-3128-9439,2
21841,0000-0003-0069-6004,0000-0003-0261-4375,1
21842,0000-0003-0069-6004,0000-0002-7836-5881,1
21843,0000-0003-0069-6004,0000-0002-0290-0315,1
21844,0000-0003-0069-6004,0000-0002-3128-9439,1
21845,0000-0002-0290-0315,0000-0003-0261-4375,1
21846,0000-0002-0290-0315,0000-0003-0069-6004,1
21847,0000-0002-0290-0315,0000-0002-3128-9439,1
21848,0000-0002-3128-9439,0000-0003-0261-4375,1
21849,0000-0002-3128-9439,0000-0002-7836-5881,2
21850,0000-0002-3128-9439,0000-0003-0069-6004,1
21851,0000-0002-3128-9439,0000-0002-0290-0315,1
21852,0000-0002-9779-0605,0000-0002-4810-9262,2
21853,0000-0002-4810-9262,0000-0002-9779-0605,2
21854,0000-0003-2685-9246,0000-0002-8553-2641,1
21855,0000-0003-2685-9246,0000-0001-5989-3614,4
21856,0000-0002-8553-2641,0000-0003-2685-9246,1
21857,0000-0001-5989-3614,0000-0003-2685-9246,4
21858,0000-0002-0972-9178,0000-0001-8390-0933,1
21859,0000-0001-8390-0933,0000-0002-0972-9178,1
21860,0000-0002-1951-6176,0000-0002-2372-2175,4
21861,0000-0002-1951-6176,0000-0002-2443-7958,3
21862,0000-0002-2372-2175,0000-0002-1951-6176,4
21863,0000-0002-2372-2175,0000-0002-2443-7958,4
21864,0000-0002-2443-7958,0000-0002-1951-6176,3
21865,0000-0002-2443-7958,0000-0002-2372-2175,4
21866,0000-0001-5232-4742,0000-0002-4037-3501,1
21867,0000-0002-4037-3501,0000-0001-5232-4742,1
21868,0000-0003-2757-4779,0000-0002-7654-4405,1
21869,0000-0002-7654-4405,0000-0003-2757-4779,1
21870,0000-0002-7285-8351,0000-0002-8194-6927,1
21871,0000-0002-8194-6927,0000-0002-7285-8351,1
21872,0000-0002-9592-1333,0000-0001-7560-7104,1
21873,0000-0001-7560-7104,0000-0002-9592-1333,1
21874,0000-0003-3436-6097,0000-0002-6133-2581,1
21875,0000-0002-6133-2581,0000-0003-3436-6097,1
21876,0000-0003-0660-6110,0000-0001-5042-9532,1
21877,0000-0001-5042-9532,0000-0003-0660-6110,1
21878,0000-0003-2490-4824,0000-0003-0069-6004,2
21879,0000-0003-0069-6004,0000-0003-2490-4824,2
21880,0000-0003-1023-9923,0000-0002-0052-7991,1
21881,0000-0002-0052-7991,0000-0003-1023-9923,1
21882,0000-0002-3651-7314,0000-0003-4873-708X,1
21883,0000-0003-4873-708X,0000-0002-3651-7314,1
21884,0000-0002-8281-8636,0000-0001-5641-9458,1
21885,0000-0001-5641-9458,0000-0002-8281-8636,1
21886,0000-0002-5495-274X,0000-0002-5366-9168,1
21887,0000-0002-5366-9168,0000-0002-5495-274X,1
21888,0000-0003-3103-8098,0000-0002-2725-5535,3
21889,0000-0002-2725-5535,0000-0003-3103-8098,3
21890,0000-0003-0474-4229,0000-0002-2768-3257,4
21891,0000-0002-2768-3257,0000-0003-0474-4229,4
21892,0000-0001-9008-0056,0000-0003-2264-7852,1
21893,0000-0003-2264-7852,0000-0001-9008-0056,1
21894,0000-0002-3884-2583,0000-0002-3896-5882,1
21895,0000-0002-3896-5882,0000-0002-3884-2583,1
21896,0000-0001-9365-5433,0000-0002-4621-3031,1
21897,0000-0002-4621-3031,0000-0001-9365-5433,1
21898,0000-0002-6570-3044,0000-0002-5635-1614,1
21899,0000-0001-5541-1358,0000-0002-5635-1614,1
21900,0000-0002-5635-1614,0000-0002-6570-3044,1
21901,0000-0002-5635-1614,0000-0001-5541-1358,1
21902,0000-0001-6680-4536,0000-0002-0270-4437,1
21903,0000-0002-0270-4437,0000-0001-6680-4536,1
21904,0000-0003-4534-0853,0000-0001-6348-416X,2
21905,0000-0001-6348-416X,0000-0003-4534-0853,2
21906,0000-0003-1977-7509,0000-0001-8009-5334,6
21907,0000-0001-8009-5334,0000-0003-1977-7509,6
21908,0000-0001-8009-5334,0000-0002-9788-6615,9
21909,0000-0002-9788-6615,0000-0001-8009-5334,9
21910,0000-0002-8544-6778,0000-0002-2307-1106,1
21911,0000-0002-2307-1106,0000-0002-8544-6778,1
21912,0000-0002-6763-2841,0000-0001-6745-059X,2
21913,0000-0001-6745-059X,0000-0002-6763-2841,2
21914,0000-0001-6776-0934,0000-0001-5902-6641,2
21915,0000-0001-5902-6641,0000-0001-6776-0934,2
21916,0000-0002-0476-9146,0000-0002-0401-9791,2
21917,0000-0002-0401-9791,0000-0002-0476-9146,2
21918,0000-0002-1969-1214,0000-0001-7452-3435,1
21919,0000-0002-1969-1214,0000-0002-6527-485X,1
21920,0000-0001-7452-3435,0000-0002-1969-1214,1
21921,0000-0001-7452-3435,0000-0002-6527-485X,1
21922,0000-0002-6527-485X,0000-0002-1969-1214,1
21923,0000-0002-6527-485X,0000-0001-7452-3435,1
21924,0000-0003-0485-8090,0000-0001-6594-6946,1
21925,0000-0001-6594-6946,0000-0003-0485-8090,1
21926,0000-0001-5881-4857,0000-0001-5811-8915,1
21927,0000-0001-5811-8915,0000-0001-5881-4857,1
21928,0000-0003-1586-527X,0000-0003-0499-5773,1
21929,0000-0003-1586-527X,0000-0001-7451-0271,1
21930,0000-0003-0499-5773,0000-0003-1586-527X,1
21931,0000-0003-0499-5773,0000-0001-7451-0271,2
21932,0000-0001-7451-0271,0000-0003-1586-527X,1
21933,0000-0001-7451-0271,0000-0003-0499-5773,2
21934,0000-0001-5850-3610,0000-0002-6866-8571,2
21935,0000-0002-6866-8571,0000-0001-5850-3610,2
21936,0000-0003-2830-6813,0000-0002-4395-1397,2
21937,0000-0003-2830-6813,0000-0001-6397-9410,1
21938,0000-0002-4395-1397,0000-0003-2830-6813,2
21939,0000-0002-4395-1397,0000-0001-6397-9410,1
21940,0000-0001-6397-9410,0000-0003-2830-6813,1
21941,0000-0001-6397-9410,0000-0002-4395-1397,1
21942,0000-0001-9677-2256,0000-0003-0858-6088,2
21943,0000-0003-0858-6088,0000-0001-9677-2256,2
21944,0000-0001-9376-7136,0000-0001-6224-3073,1
21945,0000-0001-6224-3073,0000-0001-9376-7136,1
21946,0000-0001-7108-6508,0000-0001-8493-1168,1
21947,0000-0001-8493-1168,0000-0001-7108-6508,1
21948,0000-0002-9361-1999,0000-0002-9544-6472,1
21949,0000-0002-9544-6472,0000-0002-9361-1999,1
21950,0000-0003-0595-2898,0000-0003-3261-2979,1
21951,0000-0001-5502-5975,0000-0003-3261-2979,1
21952,0000-0003-3261-2979,0000-0003-0595-2898,1
21953,0000-0003-3261-2979,0000-0001-5502-5975,1
21954,0000-0002-2220-2637,0000-0002-4206-5246,1
21955,0000-0002-4206-5246,0000-0002-2220-2637,1
21956,0000-0001-5485-8748,0000-0001-5614-0668,1
21957,0000-0001-5614-0668,0000-0001-5485-8748,1
21958,0000-0002-4023-6814,0000-0002-5499-7139,1
21959,0000-0002-4023-6814,0000-0002-1131-0886,1
21960,0000-0002-5499-7139,0000-0002-4023-6814,1
21961,0000-0002-5499-7139,0000-0002-1131-0886,5
21962,0000-0002-1131-0886,0000-0002-4023-6814,1
21963,0000-0002-1131-0886,0000-0002-5499-7139,5
21964,0000-0002-6484-6262,0000-0003-0178-3329,1
21965,0000-0003-0178-3329,0000-0002-6484-6262,1
21966,0000-0002-5690-1997,0000-0002-4770-561X,1
21967,0000-0002-4770-561X,0000-0002-5690-1997,1
21968,0000-0001-7004-4111,0000-0002-4173-0355,1
21969,0000-0002-4173-0355,0000-0001-7004-4111,1
21970,0000-0002-7372-1197,0000-0002-5455-8136,1
21971,0000-0002-5455-8136,0000-0002-7372-1197,1
21972,0000-0002-6641-1430,0000-0002-2849-524X,1
21973,0000-0002-2849-524X,0000-0002-6641-1430,1
21974,0000-0002-7811-3377,0000-0002-8266-8631,1
21975,0000-0002-8266-8631,0000-0002-7811-3377,1
21976,0000-0001-9998-0464,0000-0001-5800-8038,1
21977,0000-0001-5800-8038,0000-0001-9998-0464,1
21978,0000-0002-8118-8871,0000-0002-1994-6395,1
21979,0000-0002-1994-6395,0000-0002-8118-8871,1
21980,0000-0002-7101-6910,0000-0002-4526-2122,1
21981,0000-0002-4526-2122,0000-0002-7101-6910,1
21982,0000-0002-0883-104X,0000-0003-3566-9399,1
21983,0000-0003-3566-9399,0000-0002-0883-104X,1
21984,0000-0001-6983-8870,0000-0002-3547-6733,1
21985,0000-0002-3547-6733,0000-0001-6983-8870,1
21986,0000-0002-0779-7476,0000-0002-9611-1287,1
21987,0000-0002-9611-1287,0000-0002-0779-7476,1
21988,0000-0003-1241-385X,0000-0003-0924-4928,1
21989,0000-0003-0924-4928,0000-0003-1241-385X,1
21990,0000-0003-0474-5344,0000-0003-0499-5773,4
21991,0000-0003-0474-5344,0000-0001-7451-0271,1
21992,0000-0003-0474-5344,0000-0003-3292-1528,1
21993,0000-0003-0499-5773,0000-0003-0474-5344,4
21994,0000-0003-0499-5773,0000-0003-3292-1528,2
21995,0000-0001-7451-0271,0000-0003-0474-5344,1
21996,0000-0001-7451-0271,0000-0003-3292-1528,1
21997,0000-0003-3292-1528,0000-0003-0474-5344,1
21998,0000-0003-3292-1528,0000-0003-0499-5773,2
21999,0000-0003-3292-1528,0000-0001-7451-0271,1
22000,0000-0002-1215-8089,0000-0002-7201-4394,1
22001,0000-0002-7201-4394,0000-0002-1215-8089,1
22002,0000-0001-9189-7244,0000-0001-9773-2192,1
22003,0000-0001-9773-2192,0000-0001-9189-7244,1
22004,0000-0002-2104-2272,0000-0001-9302-5992,2
22005,0000-0001-9302-5992,0000-0002-2104-2272,2
22006,0000-0002-6108-7758,0000-0001-7892-7648,2
22007,0000-0001-7892-7648,0000-0002-6108-7758,2
22008,0000-0003-4911-5290,0000-0001-9998-0464,2
22009,0000-0001-9998-0464,0000-0003-4911-5290,2
22010,0000-0001-6506-6711,0000-0002-7337-7154,1
22011,0000-0002-7337-7154,0000-0001-6506-6711,1
22012,0000-0002-1802-4217,0000-0003-0063-6378,3
22013,0000-0003-0063-6378,0000-0002-1802-4217,3
22014,0000-0001-8654-6634,0000-0002-6541-0604,3
22015,0000-0002-6541-0604,0000-0001-8654-6634,3
22016,0000-0002-1162-7242,0000-0001-8565-203X,1
22017,0000-0001-8565-203X,0000-0002-1162-7242,1
22018,0000-0003-0781-6371,0000-0003-2863-9626,2
22019,0000-0003-2863-9626,0000-0003-0781-6371,2
22020,0000-0002-9394-9148,0000-0002-9540-6622,2
22021,0000-0002-9540-6622,0000-0002-9394-9148,2
22022,0000-0003-1907-3739,0000-0001-6618-3784,1
22023,0000-0001-6618-3784,0000-0003-1907-3739,1
22024,0000-0002-9014-5355,0000-0003-1321-8714,2
22025,0000-0003-1321-8714,0000-0002-9014-5355,2
22026,0000-0003-2715-8564,0000-0001-8883-7275,3
22027,0000-0003-2715-8564,0000-0001-5392-1194,3
22028,0000-0001-8883-7275,0000-0003-2715-8564,3
22029,0000-0001-5392-1194,0000-0003-2715-8564,3
22030,0000-0003-1801-8703,0000-0002-6631-7962,1
22031,0000-0002-6631-7962,0000-0003-1801-8703,1
22032,0000-0002-8938-4893,0000-0002-8915-5185,7
22033,0000-0002-8915-5185,0000-0002-8938-4893,7
22034,0000-0002-5122-7243,0000-0002-3966-8695,2
22035,0000-0002-3966-8695,0000-0002-5122-7243,2
22036,0000-0003-4309-242X,0000-0002-3127-5686,3
22037,0000-0003-4309-242X,0000-0002-2246-3183,3
22038,0000-0002-3127-5686,0000-0003-4309-242X,3
22039,0000-0002-2246-3183,0000-0003-4309-242X,3
22040,0000-0002-9370-5776,0000-0002-7818-1804,1
22041,0000-0002-7818-1804,0000-0002-9370-5776,1
22042,0000-0002-8875-4135,0000-0001-7508-1800,1
22043,0000-0001-7508-1800,0000-0002-8875-4135,1
22044,0000-0001-5711-2618,0000-0002-3530-3015,1
22045,0000-0002-3530-3015,0000-0001-5711-2618,1
22046,0000-0001-8855-8647,0000-0002-9724-1382,1
22047,0000-0002-9724-1382,0000-0001-8855-8647,1
22048,0000-0001-5371-4427,0000-0002-9107-6654,2
22049,0000-0002-9107-6654,0000-0001-5371-4427,2
22050,0000-0002-4775-2280,0000-0002-2222-4115,1
22051,0000-0002-2222-4115,0000-0002-4775-2280,1
22052,0000-0001-6554-6889,0000-0002-8276-6784,12
22053,0000-0003-4287-1982,0000-0002-8276-6784,3
22054,0000-0002-8276-6784,0000-0001-6554-6889,12
22055,0000-0002-8276-6784,0000-0003-4287-1982,3
22056,0000-0001-5435-2691,0000-0003-1544-0407,1
22057,0000-0003-1544-0407,0000-0001-5435-2691,1
22058,0000-0002-0197-7820,0000-0002-0396-066X,2
22059,0000-0002-0396-066X,0000-0002-0197-7820,2
22060,0000-0003-0081-0305,0000-0002-1871-1850,1
22061,0000-0002-1871-1850,0000-0003-0081-0305,1
22062,0000-0002-4551-2697,0000-0002-2183-5360,1
22063,0000-0002-2183-5360,0000-0002-4551-2697,1
22064,0000-0002-5078-366X,0000-0003-3095-4254,2
22065,0000-0003-3095-4254,0000-0002-5078-366X,2
22066,0000-0002-8744-1305,0000-0003-1049-0683,2
22067,0000-0003-1049-0683,0000-0002-8744-1305,2
22068,0000-0001-8014-3279,0000-0002-2599-8474,1
22069,0000-0002-2599-8474,0000-0001-8014-3279,1
22070,0000-0002-2225-8323,0000-0003-3043-3942,1
22071,0000-0002-0106-1150,0000-0003-3043-3942,1
22072,0000-0003-1942-5845,0000-0003-3043-3942,1
22073,0000-0003-3043-3942,0000-0002-2225-8323,1
22074,0000-0003-3043-3942,0000-0002-0106-1150,1
22075,0000-0003-3043-3942,0000-0003-1942-5845,1
22076,0000-0003-3043-3942,0000-0001-9435-9441,1
22077,0000-0001-9435-9441,0000-0003-3043-3942,1
22078,0000-0003-0995-5789,0000-0001-6444-7272,1
22079,0000-0003-0995-5789,0000-0002-3144-4507,1
22080,0000-0003-0995-5789,0000-0002-8513-2218,2
22081,0000-0001-6444-7272,0000-0003-0995-5789,1
22082,0000-0001-6444-7272,0000-0002-3144-4507,1
22083,0000-0002-3144-4507,0000-0003-0995-5789,1
22084,0000-0002-3144-4507,0000-0001-6444-7272,1
22085,0000-0002-3144-4507,0000-0002-8513-2218,1
22086,0000-0002-8513-2218,0000-0003-0995-5789,2
22087,0000-0002-8513-2218,0000-0002-3144-4507,1
22088,0000-0002-4749-8913,0000-0001-6121-8589,1
22089,0000-0001-6121-8589,0000-0002-4749-8913,1
22090,0000-0003-0828-1428,0000-0001-8301-0674,1
22091,0000-0001-8301-0674,0000-0003-0828-1428,1
22092,0000-0003-3640-1554,0000-0001-9087-0218,1
22093,0000-0001-9087-0218,0000-0003-3640-1554,1
22094,0000-0002-3814-9172,0000-0003-3292-1528,1
22095,0000-0003-3292-1528,0000-0002-3814-9172,1
22096,0000-0003-3292-1528,0000-0003-3659-9062,1
22097,0000-0003-3659-9062,0000-0003-3292-1528,1
22098,0000-0001-7347-2082,0000-0002-8273-5320,1
22099,0000-0002-8273-5320,0000-0001-7347-2082,1
22100,0000-0003-0912-7617,0000-0001-7170-0360,1
22101,0000-0001-7170-0360,0000-0003-0912-7617,1
22102,0000-0002-3413-6841,0000-0002-3392-9946,1
22103,0000-0002-3392-9946,0000-0002-3413-6841,1
22104,0000-0001-7433-0203,0000-0001-6361-8789,2
22105,0000-0001-6361-8789,0000-0001-7433-0203,2
22106,0000-0002-9511-2173,0000-0003-3814-5961,1
22107,0000-0003-3814-5961,0000-0002-9511-2173,1
22108,0000-0003-3253-5862,0000-0001-8229-3641,1
22109,0000-0001-8229-3641,0000-0003-3253-5862,1
22110,0000-0003-3337-4490,0000-0001-7943-7624,1
22111,0000-0001-7943-7624,0000-0003-3337-4490,1
22112,0000-0003-4713-3911,0000-0002-5635-1614,3
22113,0000-0002-5635-1614,0000-0003-4713-3911,3
22114,0000-0002-1927-164X,0000-0002-1224-9191,1
22115,0000-0002-1927-164X,0000-0003-0624-8819,3
22116,0000-0002-1224-9191,0000-0002-1927-164X,1
22117,0000-0002-1224-9191,0000-0003-0624-8819,2
22118,0000-0003-0624-8819,0000-0002-1927-164X,3
22119,0000-0003-0624-8819,0000-0002-1224-9191,2
22120,0000-0001-9616-3274,0000-0002-6283-9157,1
22121,0000-0002-6283-9157,0000-0001-9616-3274,1
22122,0000-0003-4753-6745,0000-0002-6590-1606,4
22123,0000-0002-6590-1606,0000-0003-4753-6745,4
22124,0000-0002-7363-1853,0000-0002-3969-8261,2
22125,0000-0002-7363-1853,0000-0002-2281-9311,1
22126,0000-0002-3969-8261,0000-0002-7363-1853,2
22127,0000-0002-2281-9311,0000-0002-7363-1853,1
22128,0000-0001-9335-7751,0000-0002-3342-2651,1
22129,0000-0002-3342-2651,0000-0001-9335-7751,1
22130,0000-0001-5816-2959,0000-0002-2885-5292,3
22131,0000-0002-2885-5292,0000-0001-5816-2959,3
22132,0000-0001-7867-1240,0000-0002-9521-4102,1
22133,0000-0001-7867-1240,0000-0001-5017-5421,2
22134,0000-0002-9521-4102,0000-0001-7867-1240,1
22135,0000-0001-5017-5421,0000-0001-7867-1240,2
22136,0000-0002-7216-7294,0000-0003-1714-9963,1
22137,0000-0003-1714-9963,0000-0002-7216-7294,1
22138,0000-0003-1714-9963,0000-0002-8938-4893,1
22139,0000-0002-8938-4893,0000-0003-1714-9963,1
22140,0000-0002-0628-613X,0000-0003-3211-9957,1
22141,0000-0002-0628-613X,0000-0002-7479-6457,1
22142,0000-0003-3211-9957,0000-0002-0628-613X,1
22143,0000-0002-7479-6457,0000-0002-0628-613X,1
22144,0000-0003-3077-590X,0000-0002-1997-0678,1
22145,0000-0002-1997-0678,0000-0003-3077-590X,1
22146,0000-0002-7518-6247,0000-0001-6907-5068,1
22147,0000-0001-6907-5068,0000-0002-7518-6247,1
22148,0000-0002-8160-2446,0000-0002-5238-4902,1
22149,0000-0002-5238-4902,0000-0002-8160-2446,1
22150,0000-0002-7323-2174,0000-0002-7833-3388,1
22151,0000-0002-7833-3388,0000-0002-7323-2174,1
22152,0000-0001-7272-7733,0000-0002-1275-1130,2
22153,0000-0002-1275-1130,0000-0001-7272-7733,2
