,codigo_autor,codigo_coautor,num_publicaciones
218,0000-0002-7681-2844,0000-0001-7175-1096,3
219,0000-0002-7681-2844,0000-0002-0156-2238,12
220,0000-0002-0156-2238,0000-0001-7175-1096,9
221,0000-0002-0156-2238,0000-0002-7681-2844,12
222,0000-0003-4873-708X,0000-0002-2153-1391,12
223,0000-0002-2153-1391,0000-0003-4873-708X,12
224,0000-0003-4485-9530,0000-0003-0745-629X,1
225,0000-0003-0745-629X,0000-0003-4485-9530,1
226,0000-0001-8996-1518,0000-0002-3594-7136,21
227,0000-0002-3594-7136,0000-0001-8996-1518,21
228,0000-0001-9444-0610,0000-0001-7944-9289,7
229,0000-0001-7944-9289,0000-0001-9444-0610,7
230,0000-0001-7969-492X,0000-0002-4550-8460,3
231,0000-0001-7969-492X,0000-0003-0831-9801,2
232,0000-0001-7969-492X,0000-0002-5554-6946,2
233,0000-0002-4550-8460,0000-0001-7969-492X,3
234,0000-0002-4550-8460,0000-0003-0831-9801,2
235,0000-0002-4550-8460,0000-0002-5554-6946,2
236,0000-0003-0831-9801,0000-0001-7969-492X,2
237,0000-0003-0831-9801,0000-0002-4550-8460,2
238,0000-0003-0831-9801,0000-0002-5554-6946,4
239,0000-0002-5554-6946,0000-0001-7969-492X,2
240,0000-0002-5554-6946,0000-0002-4550-8460,2
241,0000-0002-5554-6946,0000-0003-0831-9801,4
242,0000-0002-2634-9302,0000-0001-8493-1168,1
243,0000-0001-8493-1168,0000-0002-2634-9302,1
244,0000-0001-8549-6903,0000-0001-9803-9584,5
245,0000-0001-9803-9584,0000-0001-8549-6903,5
246,0000-0002-0269-3352,0000-0003-0265-2638,10
247,0000-0003-0265-2638,0000-0002-0269-3352,10
248,0000-0001-7843-5969,0000-0002-3732-3570,32
249,0000-0002-3732-3570,0000-0001-7843-5969,32
250,0000-0001-6910-2089,0000-0002-1100-3878,1
251,0000-0001-6910-2089,0000-0002-5538-182X,5
252,0000-0002-1100-3878,0000-0001-6910-2089,1
253,0000-0002-1100-3878,0000-0002-5538-182X,1
254,0000-0002-5538-182X,0000-0001-6910-2089,5
255,0000-0002-5538-182X,0000-0002-1100-3878,1
256,0000-0003-3612-6687,0000-0002-8955-8283,1
257,0000-0002-8955-8283,0000-0003-3612-6687,1
258,0000-0003-0850-4337,0000-0001-6869-8431,1
259,0000-0001-6869-8431,0000-0003-0850-4337,1
260,0000-0002-6459-0893,0000-0002-2915-3970,75
261,0000-0002-2915-3970,0000-0002-6459-0893,75
262,0000-0002-5311-9457,0000-0003-0449-0839,35
263,0000-0003-0449-0839,0000-0002-5311-9457,35
264,0000-0002-6168-5467,0000-0002-3637-3330,3
265,0000-0002-6168-5467,0000-0003-2203-4466,1
266,0000-0002-3637-3330,0000-0002-6168-5467,3
267,0000-0002-3637-3330,0000-0003-2203-4466,1
268,0000-0003-2203-4466,0000-0002-6168-5467,1
269,0000-0003-2203-4466,0000-0002-3637-3330,1
270,0000-0002-5072-7748,0000-0003-0239-5440,3
271,0000-0003-0239-5440,0000-0002-5072-7748,3
272,0000-0002-1017-9775,0000-0002-3370-0367,3
273,0000-0002-3370-0367,0000-0002-1017-9775,3
274,0000-0003-2036-8665,0000-0002-8610-8375,2
275,0000-0002-8610-8375,0000-0003-2036-8665,2
276,0000-0002-9631-1465,0000-0002-5597-3075,7
277,0000-0002-5597-3075,0000-0002-9631-1465,7
278,0000-0001-9324-2698,0000-0001-5464-1792,1
279,0000-0001-5464-1792,0000-0001-9324-2698,1
