Unnamed: 0,codigo_autor,publicaciones_totales
513,0000-0001-9090-7690,20
514,0000-0001-7773-4473,61
515,0000-0003-0706-0973,50
516,0000-0002-8943-8484,109
517,0000-0002-5511-1686,23
518,0000-0003-2863-0883,53
520,0000-0002-2634-9302,176
521,0000-0002-1944-7078,40
522,0000-0002-5520-169X,20
523,0000-0001-5034-4395,13
524,0000-0002-6386-5672,16
525,0000-0002-1558-7831,66
526,0000-0003-3318-120X,87
527,0000-0002-4909-2984,17
528,0000-0002-9495-0378,21
529,0000-0002-5063-1156,35
530,0000-0003-3019-0370,2
531,0000-0001-5793-9244,41
532,0000-0001-6208-1684,12
533,0000-0002-2666-3801,15
534,0000-0002-2114-5271,31
535,0000-0001-7521-4861,33
536,0000-0002-2654-9160,39
537,0000-0001-8679-307X,15
539,0000-0003-4415-5058,20
540,0000-0001-9751-4910,65
541,0000-0002-1439-3285,112
542,0000-0002-8678-2183,61
543,0000-0001-6074-8975,24
544,0000-0003-4182-2222,25
545,0000-0003-0627-2923,18
546,0000-0002-4802-2896,4
548,0000-0001-8251-5857,4
550,0000-0002-9741-0668,12
551,0000-0002-5254-0389,11
552,0000-0001-7154-7239,40
553,0000-0001-8054-2237,30
554,0000-0002-3327-0918,21
555,0000-0003-0978-2662,95
556,0000-0002-0828-6176,127
557,0000-0002-0104-6129,14
558,0000-0001-5045-7293,43
559,0000-0003-2434-4206,179
560,0000-0002-1584-2863,72
561,0000-0001-6968-0823,38
562,0000-0001-7170-0360,87
563,0000-0002-7069-5958,205
564,0000-0001-5099-8495,43
565,0000-0002-8430-3214,43
566,0000-0002-0331-1774,8
569,0000-0001-8188-3092,65
571,0000-0001-8360-4376,48
572,0000-0003-4000-931X,36
573,0000-0002-7268-1584,17
574,0000-0002-0218-4320,32
575,0000-0001-5932-7786,23
576,0000-0001-5808-6503,15
577,0000-0003-1772-3558,53
578,0000-0002-9681-3342,20
579,0000-0002-4058-4368,10
580,0000-0002-8646-7925,62
581,0000-0002-5663-8025,20
582,0000-0003-4421-2876,26
585,0000-0001-8153-1441,51
586,0000-0001-5455-5819,98
587,0000-0003-0508-4568,31
588,0000-0002-8997-835X,47
590,0000-0001-9032-9691,26
591,0000-0002-5284-856X,6
592,0000-0003-1555-4607,30
593,0000-0002-4146-6363,84
596,0000-0001-9607-6998,54
597,0000-0003-1373-9202,6
598,0000-0002-4300-455X,49
599,0000-0002-7722-7348,37
600,0000-0002-8693-3842,73
601,0000-0002-4084-6233,41
602,0000-0003-1120-4781,20
603,0000-0001-7867-1240,39
604,0000-0001-5497-2743,215
605,0000-0002-7486-1941,28
606,0000-0002-2467-067X,49
607,0000-0002-5864-0129,24
608,0000-0003-3659-9062,88
610,0000-0002-9276-2306,28
611,0000-0002-4732-071X,31
613,0000-0001-6465-2620,13
614,0000-0002-0579-3279,139
616,0000-0003-0036-5459,16
617,0000-0002-8213-1658,81
619,0000-0002-1418-108X,14
621,0000-0002-1305-3502,64
624,0000-0003-2309-7100,20
625,0000-0002-9602-9558,86
626,0000-0001-9784-547X,68
627,0000-0002-6335-6915,43
628,0000-0002-7719-5585,136
629,0000-0001-5393-6302,17
630,0000-0002-4069-4276,29
631,0000-0002-4788-7548,3
632,0000-0002-5510-9762,34
633,0000-0001-7175-1096,11
634,0000-0002-7681-2844,127
635,0000-0002-0156-2238,102
637,0000-0002-2153-1391,19
638,0000-0002-7634-2854,57
640,0000-0003-4485-9530,9
643,0000-0002-1471-7016,215
644,0000-0003-3829-0675,32
645,0000-0001-7605-7343,45
646,0000-0001-5722-3369,17
647,0000-0002-1927-2925,8
648,0000-0003-0318-4194,24
651,0000-0002-0028-5494,35
652,0000-0002-4082-371X,11
653,0000-0003-2143-2825,14
654,0000-0001-8996-1518,44
655,0000-0002-3594-7136,21
656,0000-0002-2198-8842,14
658,0000-0002-8399-1836,22
659,0000-0003-3274-5448,40
660,0000-0003-3082-7431,9
661,0000-0001-6193-0488,10
662,0000-0002-7925-012X,8
663,0000-0001-9444-0610,39
664,0000-0001-7944-9289,34
665,0000-0002-1811-102X,9
