codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0002-1037-5346,0000-0002-6796-3675,5,21,0.23809523809523808
0000-0003-1149-9428,0000-0001-5050-2509,1,26,0.038461538461538464
0000-0001-5050-2509,0000-0003-1149-9428,1,17,0.058823529411764705
0000-0002-6706-9454,0000-0002-1181-1955,19,27,0.7037037037037037
0000-0002-1181-1955,0000-0002-6706-9454,19,23,0.8260869565217391
0000-0003-4982-5639,0000-0002-4398-8237,1,86,0.011627906976744186
0000-0002-4398-8237,0000-0003-4982-5639,1,79,0.012658227848101266
0000-0002-6999-5507,0000-0002-1236-849X,14,110,0.12727272727272726
0000-0002-1236-849X,0000-0002-6999-5507,14,54,0.25925925925925924
0000-0003-3234-4038,0000-0001-5541-1358,2,37,0.05405405405405406
0000-0003-3234-4038,0000-0002-5788-5511,2,37,0.05405405405405406
0000-0001-5541-1358,0000-0003-3234-4038,2,46,0.043478260869565216
0000-0001-5541-1358,0000-0002-5788-5511,2,46,0.043478260869565216
0000-0002-5788-5511,0000-0003-3234-4038,2,37,0.05405405405405406
0000-0002-5788-5511,0000-0001-5541-1358,2,37,0.05405405405405406
0000-0003-3972-9723,0000-0003-1761-6314,1,12,0.08333333333333333
0000-0003-3972-9723,0000-0003-0316-9402,1,12,0.08333333333333333
0000-0003-1761-6314,0000-0003-3972-9723,1,227,0.004405286343612335
0000-0003-1761-6314,0000-0003-0316-9402,2,227,0.00881057268722467
0000-0003-0316-9402,0000-0003-3972-9723,1,75,0.013333333333333334
0000-0003-0316-9402,0000-0003-1761-6314,2,75,0.02666666666666667
0000-0003-0995-5789,0000-0003-3917-8992,21,35,0.6
0000-0003-3917-8992,0000-0003-0995-5789,21,77,0.2727272727272727
0000-0003-0901-708X,0000-0003-0599-3091,3,42,0.07142857142857142
0000-0003-0599-3091,0000-0003-0901-708X,3,204,0.014705882352941176
0000-0001-9523-9054,0000-0003-4000-1684,4,531,0.007532956685499058
0000-0003-4000-1684,0000-0001-9523-9054,4,41,0.0975609756097561
0000-0002-9875-5713,0000-0002-6875-7566,2,18,0.1111111111111111
0000-0002-6875-7566,0000-0002-9875-5713,2,77,0.025974025974025976
0000-0002-2549-0275,0000-0003-2589-2212,1,13,0.07692307692307693
0000-0003-2589-2212,0000-0002-2549-0275,1,11,0.09090909090909091
0000-0001-8821-895X,0000-0002-5600-0400,9,44,0.20454545454545456
0000-0002-5600-0400,0000-0001-8821-895X,9,16,0.5625
0000-0002-6795-8091,0000-0001-5198-0051,4,35,0.11428571428571428
0000-0001-5198-0051,0000-0002-6795-8091,4,9,0.4444444444444444
0000-0001-5018-7641,0000-0001-5685-7343,11,43,0.2558139534883721
0000-0001-5685-7343,0000-0001-5018-7641,11,13,0.8461538461538461
0000-0002-7383-6576,0000-0002-2634-9302,3,11,0.2727272727272727
0000-0002-7383-6576,0000-0002-1944-7078,11,11,1.0
0000-0002-2634-9302,0000-0002-7383-6576,3,176,0.017045454545454544
0000-0002-2634-9302,0000-0002-1944-7078,7,176,0.03977272727272727
0000-0002-1944-7078,0000-0002-7383-6576,11,40,0.275
0000-0002-1944-7078,0000-0002-2634-9302,7,40,0.175
0000-0002-9495-0378,0000-0002-5063-1156,1,21,0.047619047619047616
0000-0002-9495-0378,0000-0003-3019-0370,1,21,0.047619047619047616
0000-0002-5063-1156,0000-0002-9495-0378,1,35,0.02857142857142857
0000-0002-5063-1156,0000-0003-3019-0370,1,35,0.02857142857142857
0000-0003-3019-0370,0000-0002-9495-0378,1,2,0.5
0000-0003-3019-0370,0000-0002-5063-1156,1,2,0.5
0000-0002-8678-2183,0000-0001-6074-8975,2,61,0.03278688524590164
0000-0001-6074-8975,0000-0002-8678-2183,2,24,0.08333333333333333
0000-0001-8251-5857,0000-0002-6547-5889,1,4,0.25
0000-0002-6547-5889,0000-0001-8251-5857,1,10,0.1
0000-0001-7154-7239,0000-0001-8054-2237,26,40,0.65
0000-0001-7154-7239,0000-0002-3327-0918,21,40,0.525
0000-0001-8054-2237,0000-0001-7154-7239,26,30,0.8666666666666667
0000-0001-8054-2237,0000-0002-3327-0918,11,30,0.36666666666666664
0000-0002-3327-0918,0000-0001-7154-7239,21,21,1.0
0000-0002-3327-0918,0000-0001-8054-2237,11,21,0.5238095238095238
