,codigo_autor,publicaciones_totales
9313,0000-0002-4627-8185,6
9314,0000-0002-8985-0073,6
9315,0000-0001-6130-8381,9
9316,0000-0002-1089-5675,22
9317,0000-0003-1428-3382,18
9318,0000-0002-0486-8507,4
9319,0000-0002-4391-0560,12
9320,0000-0001-6895-7106,13
9321,0000-0003-4541-738X,4
9322,0000-0001-6255-6483,9
9323,0000-0002-4603-7939,18
9324,0000-0001-8510-341X,2
9325,0000-0001-9817-6319,23
9326,0000-0002-9666-7058,14
9327,0000-0003-2857-3479,32
9328,0000-0002-3776-3699,4
9329,0000-0002-4254-9099,5
9330,0000-0001-6359-3382,5
9331,0000-0001-6823-6069,15
9332,0000-0001-7273-6410,1
9333,0000-0002-0940-4541,10
9334,0000-0003-3645-2343,4
9335,0000-0002-9893-4359,19
9336,0000-0002-9605-6433,14
9337,0000-0003-2728-0666,19
9338,0000-0001-5065-6794,3
9339,0000-0001-7993-8584,4
9340,0000-0003-1340-0647,63
9341,0000-0001-8106-7917,4
9342,0000-0003-0776-9288,5
9343,0000-0003-3149-9759,10
9344,0000-0001-5160-6027,9
9345,0000-0003-2519-6129,12
9346,0000-0001-9718-996X,12
9347,0000-0002-5601-1265,31
9348,0000-0002-0805-2775,13
9349,0000-0002-3833-1871,15
9350,0000-0002-2333-6127,5
9351,0000-0001-8968-1161,4
9352,0000-0001-6719-7969,2
9353,0000-0002-4716-8295,8
9354,0000-0002-5868-0462,16
9355,0000-0002-8040-3226,21
9356,0000-0001-9160-4544,11
9357,0000-0003-1578-0524,30
9358,0000-0001-8759-2982,10
9359,0000-0003-3749-8730,13
9360,0000-0001-8938-5290,18
9361,0000-0002-1783-1084,23
9362,0000-0001-9668-9866,5
9363,0000-0001-6449-0596,11
9364,0000-0002-9027-9417,3
9365,0000-0001-5497-452X,2
9366,0000-0002-4559-1460,8
9367,0000-0002-8057-2783,47
9368,0000-0001-7502-7265,17
9369,0000-0002-1931-0549,11
9370,0000-0001-6870-9225,2
9371,0000-0002-4257-1325,17
9372,0000-0002-8955-2842,2
9373,0000-0002-9499-0492,8
9374,0000-0002-9662-3725,12
9375,0000-0002-6081-5442,17
9376,0000-0002-1774-3201,35
9377,0000-0002-6339-5738,49
9378,0000-0002-7174-7270,5
9379,0000-0002-9486-2343,36
9380,0000-0002-5480-1714,5
9381,0000-0002-6430-5888,15
9382,0000-0002-9540-6622,28
9383,0000-0002-9172-3874,8
9384,0000-0002-5959-5729,42
9385,0000-0002-2833-2248,16
9386,0000-0003-3183-7594,3
9387,0000-0003-0253-4295,15
9388,0000-0002-0210-9013,9
9389,0000-0002-2560-2484,16
9390,0000-0001-5948-8037,3
9391,0000-0002-0595-6533,2
9392,0000-0002-2149-1043,17
9393,0000-0002-2725-4647,2
9394,0000-0001-6871-7663,2
9395,0000-0002-0228-169X,14
9396,0000-0002-9021-8956,20
9397,0000-0003-4759-6617,14
9398,0000-0003-1052-5348,15
9399,0000-0002-1463-4069,14
9400,0000-0002-6349-6950,21
9401,0000-0001-9563-0686,7
9402,0000-0001-9089-2599,18
9403,0000-0002-4771-8349,9
9404,0000-0001-7948-4498,9
9405,0000-0003-0119-732X,36
9406,0000-0003-4177-1840,3
9407,0000-0001-8000-0219,29
9408,0000-0001-7928-0364,36
9409,0000-0001-8923-5671,22
9410,0000-0001-5212-7052,1
9411,0000-0003-1223-5934,21
9412,0000-0002-9193-7696,12
9413,0000-0003-3840-8952,4
9414,0000-0001-5361-7678,6
9415,0000-0003-3434-0807,6
9416,0000-0002-0213-2328,17
9417,0000-0003-0381-028X,8
9418,0000-0001-7474-0173,17
9419,0000-0002-2819-7584,9
9420,0000-0001-7283-2015,18
9421,0000-0002-0185-197X,8
9422,0000-0002-1044-0881,21
9423,0000-0002-7811-197X,6
9424,0000-0001-5151-7390,5
9425,0000-0003-0700-6993,12
9426,0000-0002-1756-4449,8
9427,0000-0002-7219-0398,4
9428,0000-0002-2690-7095,5
9429,0000-0002-6048-6896,25
9430,0000-0002-4564-4702,25
9431,0000-0001-9973-8352,10
9432,0000-0001-7014-8121,56
9433,0000-0002-7171-4516,4
9434,0000-0003-0836-6333,11
9435,0000-0002-2332-3166,16
9436,0000-0001-7102-4163,13
9437,0000-0002-2857-786X,16
9438,0000-0002-7539-3465,17
9439,0000-0002-6229-5057,10
9440,0000-0003-2735-9550,16
9441,0000-0003-4101-0654,8
9442,0000-0001-7359-2690,14
9443,0000-0002-8142-0511,7
9444,0000-0002-9058-4278,5
9445,0000-0001-9755-2490,26
9446,0000-0001-9675-3530,7
9447,0000-0002-4870-8978,8
9448,0000-0001-8021-9798,23
9449,0000-0002-2131-7467,10
9450,0000-0002-2423-7315,1
9451,0000-0003-2481-9988,17
9452,0000-0001-7637-7275,13
9453,0000-0002-1162-7242,46
9454,0000-0001-5454-0406,2
9455,0000-0003-1031-8824,8
9456,0000-0001-5732-8750,2
9457,0000-0002-3950-5351,63
9458,0000-0002-7277-6233,19
9459,0000-0001-5922-3709,2
9460,0000-0001-6201-5599,31
9461,0000-0002-1087-2553,13
9462,0000-0002-0208-7264,7
9463,0000-0002-6046-1234,14
9464,0000-0002-8359-9818,11
9465,0000-0002-5039-3178,12
9466,0000-0001-9742-8756,23
9467,0000-0002-9912-9028,30
9468,0000-0001-6841-1963,11
9469,0000-0002-6590-4145,4
9470,0000-0002-7025-7501,4
9471,0000-0001-5400-7900,3
9472,0000-0002-9063-2639,3
9473,0000-0003-4065-2639,12
9474,0000-0001-6415-4648,8
9475,0000-0002-1071-5355,3
9476,0000-0001-6351-6774,7
9477,0000-0002-1313-2091,18
9478,0000-0001-8108-8339,17
9479,0000-0002-5887-9682,18
9480,0000-0002-9877-7816,24
9481,0000-0002-8155-136X,1
9482,0000-0001-7583-0592,4
9483,0000-0002-5740-1505,4
9484,0000-0001-8189-6045,7
9485,0000-0002-1514-0909,16
9486,0000-0002-0666-4559,6
9487,0000-0003-4459-9142,25
9488,0000-0001-7435-7262,27
9489,0000-0002-1666-0543,9
9490,0000-0001-6394-332X,9
9491,0000-0002-4505-0939,12
9492,0000-0002-7504-1822,6
9493,0000-0002-2167-6451,11
9494,0000-0003-4237-2278,8
9495,0000-0003-0801-6499,21
9496,0000-0002-7199-6170,2
9497,0000-0002-6635-2127,19
9498,0000-0002-0353-365X,12
9499,0000-0001-6866-1540,7
9500,0000-0003-2909-3880,8
9501,0000-0002-0397-2636,18
9502,0000-0001-5003-3300,7
9503,0000-0003-4620-8491,13
9504,0000-0002-8928-2520,28
9505,0000-0003-2493-3609,26
9506,0000-0001-7494-3675,2
9507,0000-0003-0180-4695,7
9508,0000-0002-5075-3639,14
9509,0000-0002-5870-2537,3
9510,0000-0002-7951-4148,14
9511,0000-0002-5060-3657,10
9512,0000-0002-1512-7667,28
9513,0000-0001-7167-908X,9
9514,0000-0003-1683-9276,24
9515,0000-0002-3141-9539,5
9516,0000-0003-4764-8851,7
9517,0000-0001-8793-9982,7
9518,0000-0002-1257-1201,14
9519,0000-0002-6710-3309,8
9520,0000-0003-2356-6659,15
9521,0000-0002-8213-0604,18
9522,0000-0002-3431-7052,5
9523,0000-0002-2889-9551,5
9524,0000-0003-3342-9930,15
9525,0000-0002-9951-687X,5
9526,0000-0001-9822-7825,7
9527,0000-0003-2540-539X,10
9528,0000-0003-0682-023X,27
9529,0000-0001-5572-7694,4
9530,0000-0002-2151-0574,4
9531,0000-0003-0097-2953,11
9532,0000-0002-9509-0613,8
9533,0000-0001-9314-2283,31
9534,0000-0003-2978-8762,41
9535,0000-0002-2565-6239,9
9536,0000-0002-7131-3667,8
9537,0000-0002-2241-7603,15
9538,0000-0003-1717-1853,5
9539,0000-0002-5876-2599,16
9540,0000-0003-3671-2117,6
9541,0000-0002-0472-4263,7
9542,0000-0002-9300-5710,28
9543,0000-0003-2795-0711,4
9544,0000-0001-6880-7765,3
9545,0000-0002-8867-7256,30
9546,0000-0001-9616-3274,3
9547,0000-0003-2894-3345,11
9548,0000-0001-9706-2133,5
9549,0000-0001-5592-0232,4
9550,0000-0001-5123-6513,12
9551,0000-0001-5055-9046,15
9552,0000-0002-7886-0727,13
9553,0000-0002-2782-6780,38
9554,0000-0001-8936-430X,6
9555,0000-0003-1561-0680,2
9556,0000-0001-7611-861X,8
9557,0000-0003-4005-1753,18
9558,0000-0003-2096-8310,21
9559,0000-0002-4585-2958,2
9560,0000-0002-0623-1067,5
9561,0000-0003-2610-5065,8
9562,0000-0002-6528-0766,5
9563,0000-0003-4929-5316,28
9564,0000-0001-5983-397X,2
9565,0000-0002-9994-4831,26
9566,0000-0002-4119-701X,26
9567,0000-0002-4079-1957,7
9568,0000-0002-8576-4338,2
9569,0000-0001-8923-5882,33
9570,0000-0001-7059-771X,5
9571,0000-0002-1361-2714,3
9572,0000-0003-4321-4626,9
9573,0000-0002-0998-9818,7
9574,0000-0003-3929-9778,10
9575,0000-0001-6655-4784,10
9576,0000-0002-0139-7439,9
9577,0000-0002-6857-0136,3
9578,0000-0001-8290-6276,26
9579,0000-0001-5357-2721,4
9580,0000-0002-7216-7294,31
9581,0000-0001-7515-3667,7
9582,0000-0003-2582-2361,3
9583,0000-0003-1444-7551,19
9584,0000-0002-2962-9844,29
9585,0000-0002-7301-6076,23
9586,0000-0003-4039-0456,4
9587,0000-0002-4950-1303,15
9588,0000-0001-5974-2808,16
9589,0000-0002-7748-5128,2
9590,0000-0002-2731-9586,8
9591,0000-0001-5031-8672,11
9592,0000-0001-6821-6367,15
9593,0000-0001-8072-8920,2
9594,0000-0003-2899-6615,20
9595,0000-0001-8437-818X,2
9596,0000-0002-8486-8610,3
9597,0000-0001-8219-8986,5
9598,0000-0001-7550-0024,3
9599,0000-0001-8193-4689,6
9600,0000-0003-3871-2188,7
9601,0000-0003-2489-2579,7
9602,0000-0001-9539-3203,11
9603,0000-0003-3397-9908,3
9604,0000-0003-1237-4600,6
9605,0000-0001-8881-7952,6
9606,0000-0002-2964-9490,17
9607,0000-0002-3939-5172,57
9608,0000-0002-8780-476X,25
9609,0000-0003-4226-5501,28
9610,0000-0001-9795-1993,10
9611,0000-0002-7027-3173,17
9612,0000-0001-8183-5365,23
9613,0000-0002-2914-2593,24
9614,0000-0002-4351-5579,5
9615,0000-0003-3192-4428,11
9616,0000-0001-9971-8765,20
9617,0000-0002-2493-6407,38
9618,0000-0003-0327-8297,29
9619,0000-0001-8440-0658,11
9620,0000-0001-9247-0744,15
9621,0000-0003-4794-1564,4
9622,0000-0001-7322-4396,6
9623,0000-0002-1075-6544,27
9624,0000-0001-5240-6633,7
9625,0000-0003-1558-8479,2
9626,0000-0002-2654-2591,7
9627,0000-0002-3303-0420,17
9628,0000-0003-4759-2341,22
9629,0000-0002-5630-2417,30
9630,0000-0001-9801-4993,31
9631,0000-0002-7741-4653,20
9632,0000-0003-3750-7342,87
9633,0000-0002-9230-7506,30
9634,0000-0002-4753-4566,1
9635,0000-0003-0730-7649,20
9636,0000-0003-3930-5285,20
9637,0000-0002-8575-4711,5
9638,0000-0002-2583-2968,4
9639,0000-0001-5668-4577,7
9640,0000-0002-3862-7023,30
9641,0000-0002-9898-2318,4
9642,0000-0003-3845-0034,13
9643,0000-0002-0507-2762,21
9644,0000-0002-0570-394X,12
9645,0000-0002-3061-2767,18
9646,0000-0001-6333-9448,2
9647,0000-0003-4174-7373,15
9648,0000-0002-2765-881X,3
9649,0000-0003-1237-9962,8
9650,0000-0002-3312-104X,30
9651,0000-0001-9331-3169,34
9652,0000-0001-5297-6257,15
9653,0000-0001-9641-5507,6
9654,0000-0001-6940-9080,5
9655,0000-0001-6000-9259,17
9656,0000-0001-8664-922X,33
9657,0000-0002-5172-0636,13
9658,0000-0001-6506-1398,1
9659,0000-0002-0557-3153,4
9660,0000-0002-1561-2187,21
9661,0000-0002-5467-1710,9
9662,0000-0002-0541-6094,18
9663,0000-0001-5155-3383,26
9664,0000-0001-7061-6634,16
9665,0000-0002-5885-2084,15
9666,0000-0001-9157-8761,6
9667,0000-0002-1899-2090,2
9668,0000-0002-0128-8363,3
9669,0000-0002-0002-1544,20
9670,0000-0002-9948-0045,18
9671,0000-0003-2216-7488,15
9672,0000-0003-3459-2975,14
9673,0000-0002-0831-8422,18
9674,0000-0003-1907-3739,8
9675,0000-0002-2368-7728,20
9676,0000-0001-9264-3721,14
9677,0000-0001-9891-5185,13
9678,0000-0002-5512-0849,11
9679,0000-0001-8095-5197,10
9680,0000-0002-4164-3040,6
9681,0000-0003-0290-3898,1
9682,0000-0002-7823-3416,42
9683,0000-0002-1291-3363,8
9684,0000-0003-3549-4365,32
9685,0000-0002-9755-7846,22
9686,0000-0003-2140-0567,24
9687,0000-0003-2090-5141,5
9688,0000-0002-5587-726X,18
9689,0000-0002-6861-6827,40
9690,0000-0001-5671-7017,4
9691,0000-0001-9337-4033,12
9692,0000-0003-1327-3537,12
9693,0000-0002-4911-8507,12
9694,0000-0002-8597-5506,17
9695,0000-0001-5561-0904,14
9696,0000-0002-4673-2050,7
9697,0000-0002-2358-5860,19
9698,0000-0003-2051-5573,4
9699,0000-0003-3662-6307,18
9700,0000-0003-4323-1602,31
9701,0000-0002-5978-0545,11
9702,0000-0003-4528-4660,14
9703,0000-0002-2943-7906,14
9704,0000-0002-7050-6723,29
9705,0000-0002-8633-0988,15
9706,0000-0002-2805-7522,4
9707,0000-0002-4089-3822,10
9708,0000-0002-1911-1646,5
9709,0000-0001-5974-0116,4
9710,0000-0002-8755-1889,24
9711,0000-0002-3735-3198,3
9712,0000-0002-7092-1046,7
9713,0000-0002-2885-5292,33
9714,0000-0001-5133-9731,13
9715,0000-0002-2972-370X,9
9716,0000-0002-5905-5108,6
9717,0000-0003-0788-9271,15
9718,0000-0002-3605-6351,5
9719,0000-0002-8559-7306,25
9720,0000-0002-7995-0177,20
9721,0000-0001-5914-6862,4
9722,0000-0001-6705-2866,7
9723,0000-0001-9602-1516,4
9724,0000-0001-6315-3758,14
9725,0000-0001-6533-7470,8
9726,0000-0002-8949-9279,6
9727,0000-0003-3806-0183,14
9728,0000-0002-0751-1634,12
9729,0000-0002-9181-6819,13
9730,0000-0003-3431-2371,3
9731,0000-0001-8194-8642,9
9732,0000-0003-4945-3097,26
9733,0000-0002-1802-0128,4
9734,0000-0001-6398-7648,26
9735,0000-0002-1459-3412,6
9736,0000-0002-5756-1517,11
9737,0000-0002-5918-4276,27
9738,0000-0002-5314-9517,1
9739,0000-0002-9277-6687,19
9740,0000-0003-4129-4706,1
9741,0000-0003-2179-042X,13
9742,0000-0002-2916-9649,16
9743,0000-0002-1270-9805,2
9744,0000-0003-4980-4096,13
9745,0000-0002-4360-7932,11
9746,0000-0002-8709-0365,8
9747,0000-0003-4371-1358,1
9748,0000-0001-6236-0771,27
9749,0000-0002-6083-1311,20
9750,0000-0003-2535-7746,7
9751,0000-0001-7584-6199,10
9752,0000-0002-8443-9365,13
9753,0000-0002-0170-868X,12
9754,0000-0003-3455-8224,11
9755,0000-0002-3602-7032,5
9756,0000-0003-2193-178X,5
9757,0000-0003-2391-5943,17
9758,0000-0001-7869-8005,2
9759,0000-0002-0732-7386,15
9760,0000-0001-5378-2411,6
9761,0000-0001-7140-0667,14
9762,0000-0001-8113-4403,2
9763,0000-0003-0937-0334,8
9764,0000-0001-5158-8594,3
9765,0000-0002-7948-5949,5
9766,0000-0002-7027-8396,34
9767,0000-0002-4830-3495,19
9768,0000-0002-1554-5615,2
9769,0000-0001-9474-6943,20
9770,0000-0001-9498-2938,6
9771,0000-0002-9372-1346,14
9772,0000-0002-0079-3755,30
9773,0000-0002-0611-3837,16
9774,0000-0001-8916-5570,9
9775,0000-0002-8385-9296,6
9776,0000-0002-9423-5446,13
9777,0000-0002-3298-2905,7
9778,0000-0003-0101-3834,21
9779,0000-0003-1058-2473,30
9780,0000-0003-1169-731X,5
9781,0000-0002-8650-4474,8
9782,0000-0001-9621-465X,11
9783,0000-0002-6509-3194,24
9784,0000-0002-8457-8509,1
9785,0000-0002-7620-6094,5
9786,0000-0001-8657-3800,6
9787,0000-0002-1531-2053,7
9788,0000-0002-9991-9505,7
9789,0000-0001-7688-9887,13
9790,0000-0002-1970-1929,3
9791,0000-0003-4186-1280,20
9792,0000-0003-2110-4610,4
9793,0000-0003-3031-5823,17
9794,0000-0001-5437-0777,3
9795,0000-0002-4935-3291,25
9796,0000-0001-7093-574X,5
9797,0000-0001-9693-2301,7
9798,0000-0002-1536-3205,24
9799,0000-0001-6659-6001,5
9800,0000-0002-2521-2611,2
9801,0000-0001-7316-0003,3
9802,0000-0001-7933-2865,40
9803,0000-0003-1700-8909,38
9804,0000-0003-1924-3961,7
9805,0000-0001-9827-1738,29
9806,0000-0001-6355-8691,11
9807,0000-0003-1578-4955,6
9808,0000-0002-5922-1524,29
9809,0000-0002-0798-0131,19
9810,0000-0002-6719-9814,10
9811,0000-0001-9199-7579,9
9812,0000-0003-0651-3870,10
9813,0000-0003-2646-3030,6
9814,0000-0002-2680-6403,3
9815,0000-0002-5320-1493,8
9816,0000-0002-8759-3931,6
9817,0000-0001-7092-7715,8
9818,0000-0002-2648-6235,3
9819,0000-0002-4647-6042,17
9820,0000-0001-6721-1177,10
9821,0000-0003-0885-736X,27
9822,0000-0003-0216-9056,9
9823,0000-0002-1843-1031,2
9824,0000-0002-8821-0971,16
9825,0000-0002-5776-9617,2
9826,0000-0003-0040-4753,11
9827,0000-0003-3045-2414,7
9828,0000-0002-6266-1221,10
9829,0000-0002-8502-7098,16
9830,0000-0002-6436-8483,13
9831,0000-0002-5453-1646,15
9832,0000-0003-0544-3225,8
9833,0000-0002-0154-3088,13
9834,0000-0002-0926-8500,15
9835,0000-0003-4093-6295,4
9836,0000-0002-0745-2259,9
9837,0000-0001-7429-015X,5
9838,0000-0001-8042-1494,16
9839,0000-0002-7688-0281,17
9840,0000-0002-8355-7562,8
9841,0000-0003-2740-7508,2
9842,0000-0002-6774-2987,33
9843,0000-0003-3288-8326,13
9844,0000-0002-5365-5161,14
9845,0000-0003-0401-4808,16
9846,0000-0002-7601-210X,19
9847,0000-0002-2975-942X,20
9848,0000-0002-8810-5047,24
9849,0000-0003-4364-516X,14
9850,0000-0003-2869-0309,11
9851,0000-0003-2304-4180,4
9852,0000-0003-4954-7034,9
9853,0000-0001-9539-4070,4
9854,0000-0002-6134-7759,2
9855,0000-0002-9569-0416,1
9856,0000-0001-8052-0679,15
9857,0000-0003-1723-3671,7
9858,0000-0003-2117-2285,4
9859,0000-0003-0752-9049,15
9860,0000-0003-1729-0561,2
9861,0000-0001-6646-6661,21
9862,0000-0002-8732-7131,7
9863,0000-0001-6071-0272,14
9864,0000-0002-9306-573X,12
9865,0000-0002-9843-1559,12
9866,0000-0003-0029-7943,3
9867,0000-0003-4190-3890,3
9868,0000-0002-2656-8951,1
9869,0000-0002-1470-360X,8
9870,0000-0003-1327-0424,6
9871,0000-0002-9340-5511,13
9872,0000-0002-9656-661X,13
9873,0000-0003-0352-5585,5
9874,0000-0001-8871-0055,7
9875,0000-0003-0481-6878,13
9876,0000-0003-0437-9209,7
9877,0000-0003-4384-4855,14
9878,0000-0002-3645-3189,17
9879,0000-0002-0339-3685,48
9880,0000-0003-2620-7387,30
9881,0000-0002-4731-8118,29
9882,0000-0002-4646-0569,19
9883,0000-0002-2205-8102,13
9884,0000-0003-0317-0374,7
9885,0000-0001-9846-6754,23
9886,0000-0002-0792-3188,31
9887,0000-0002-9600-7287,10
9888,0000-0001-8027-2281,21
9889,0000-0002-9845-9885,7
9890,0000-0003-4726-2115,11
9891,0000-0003-3935-0377,18
9892,0000-0002-0473-5165,6
9893,0000-0001-9102-4865,19
9894,0000-0002-5976-4932,9
9895,0000-0002-3639-1539,7
9896,0000-0002-0972-9178,9
9897,0000-0001-9555-7693,6
9898,0000-0002-8356-3866,29
9899,0000-0002-1481-4430,16
9900,0000-0002-2273-5046,11
9901,0000-0003-3879-9068,16
9902,0000-0002-6239-7301,17
9903,0000-0003-4338-174X,5
9904,0000-0003-3274-690X,14
9905,0000-0002-2461-8214,15
9906,0000-0001-9412-1660,17
9907,0000-0001-6083-0952,45
9908,0000-0002-8155-8537,11
9909,0000-0001-9480-2677,6
9910,0000-0003-3328-3089,31
9911,0000-0002-4495-7408,14
9912,0000-0003-1605-7346,1
9913,0000-0001-5967-1501,13
9914,0000-0001-6957-2718,6
9915,0000-0002-8300-6533,37
9916,0000-0003-2519-7797,7
9917,0000-0001-5582-5446,39
9918,0000-0002-6476-7206,4
9919,0000-0002-3943-8013,22
9920,0000-0001-9600-3537,3
9921,0000-0002-4957-3796,2
9922,0000-0001-8513-3416,1
9923,0000-0003-0665-4948,15
9924,0000-0002-5131-4240,8
9925,0000-0002-6977-7104,5
9926,0000-0002-3762-789X,19
9927,0000-0001-8197-7232,4
9928,0000-0003-3406-243X,2
9929,0000-0002-0892-3200,20
9930,0000-0002-5659-8844,4
9931,0000-0001-5465-3814,20
9932,0000-0003-0459-7716,29
9933,0000-0002-3155-0334,5
9934,0000-0002-2252-4636,10
9935,0000-0003-1140-5516,7
9936,0000-0002-1482-9173,12
9937,0000-0002-2731-7433,9
9938,0000-0003-4802-010X,2
9939,0000-0001-5941-1160,12
9940,0000-0002-7444-7601,18
9941,0000-0003-3114-0586,18
9942,0000-0002-9015-9343,6
9943,0000-0002-1252-806X,1
9944,0000-0001-5848-7673,4
9945,0000-0003-0539-8110,24
9946,0000-0003-2430-8598,9
9947,0000-0003-0243-4518,10
9948,0000-0001-7739-5934,19
9949,0000-0001-8161-4335,7
9950,0000-0002-8767-1637,33
9951,0000-0002-5150-9486,3
9952,0000-0002-3948-8045,5
9953,0000-0003-0032-2424,5
9954,0000-0002-4776-2294,22
9955,0000-0002-5673-9360,16
9956,0000-0002-7984-3128,12
9957,0000-0003-1165-6681,7
9958,0000-0003-4505-2368,6
9959,0000-0002-3599-0804,7
9960,0000-0002-6917-6552,11
9961,0000-0003-2531-5394,13
9962,0000-0003-0542-2758,13
9963,0000-0002-2343-3226,9
9964,0000-0002-1890-6797,21
9965,0000-0002-8835-2486,20
9966,0000-0002-3094-4200,14
9967,0000-0003-2530-5727,1
9968,0000-0002-3445-6327,8
9969,0000-0001-6085-5527,20
9970,0000-0002-2624-4105,13
9971,0000-0002-7959-9225,3
9972,0000-0002-5030-1018,8
9973,0000-0002-3364-6655,19
9974,0000-0001-6847-3726,9
9975,0000-0003-3704-3947,4
9976,0000-0001-9776-0249,7
9977,0000-0001-5674-0217,1
9978,0000-0003-2571-6286,3
9979,0000-0002-6404-1018,3
9980,0000-0001-7426-0188,14
9981,0000-0003-4871-1621,7
9982,0000-0003-0027-9614,8
9983,0000-0001-5702-4220,21
9984,0000-0002-7467-9939,4
9985,0000-0002-1151-9778,4
9986,0000-0002-0418-7381,10
9987,0000-0003-0127-0718,16
9988,0000-0002-0183-7000,19
9989,0000-0002-5602-6985,2
9990,0000-0002-7473-4918,2
9991,0000-0003-3977-3425,13
9992,0000-0003-2767-2029,10
9993,0000-0002-6702-5785,8
9994,0000-0002-4625-9590,5
9995,0000-0001-6978-6249,29
9996,0000-0003-4836-6311,29
9997,0000-0003-1620-3817,18
9998,0000-0002-5060-9020,8
9999,0000-0002-1220-7610,3
10000,0000-0003-4094-8368,12
10001,0000-0001-9953-0703,21
10002,0000-0002-1153-6025,9
10003,0000-0002-3234-5762,8
10004,0000-0002-6283-9157,30
10005,0000-0003-4623-9386,33
10006,0000-0001-5186-5889,7
10007,0000-0002-7880-3343,1
10008,0000-0001-9234-1053,12
10009,0000-0002-3688-8676,28
10010,0000-0003-4931-5452,5
10011,0000-0003-1612-4211,10
10012,0000-0002-5242-5567,22
10013,0000-0002-2918-4152,10
10014,0000-0002-3569-567X,9
10015,0000-0002-6189-7144,2
10016,0000-0002-8229-2902,5
10017,0000-0002-8591-2038,10
10018,0000-0003-1933-2841,25
10019,0000-0003-3608-5440,8
10020,0000-0001-7451-0271,12
10021,0000-0002-3383-9684,12
10022,0000-0002-2892-2678,2
10023,0000-0002-9396-5607,11
10024,0000-0001-9634-2520,21
10025,0000-0002-3880-1263,1
10026,0000-0002-0644-9330,5
10027,0000-0002-1720-8209,18
10028,0000-0002-0887-2044,4
10029,0000-0002-9798-8160,10
10030,0000-0002-5429-0328,2
10031,0000-0002-6187-644X,3
10032,0000-0002-3408-6274,16
10033,0000-0002-0664-5964,27
10034,0000-0003-0848-7258,14
10035,0000-0001-8259-6466,12
10036,0000-0001-5127-7294,14
10037,0000-0002-8012-7727,11
10038,0000-0002-4341-8517,8
10039,0000-0001-5279-877X,2
10040,0000-0001-6310-4956,15
10041,0000-0003-3010-1243,13
10042,0000-0002-2217-9676,16
10043,0000-0003-4865-9413,10
10044,0000-0003-4348-3930,13
10045,0000-0002-6459-2928,10
10046,0000-0003-4319-2797,7
10047,0000-0003-2613-3090,34
10048,0000-0003-1166-8033,17
10049,0000-0001-6527-2881,7
10050,0000-0002-2524-1420,18
10051,0000-0001-7792-8702,2
10052,0000-0002-3921-6357,3
10053,0000-0003-1469-8043,19
10054,0000-0002-5554-2777,31
10055,0000-0002-5771-8174,13
10056,0000-0002-5226-5663,18
10057,0000-0002-1634-7207,16
10058,0000-0002-4944-4652,73
10059,0000-0002-1665-9681,7
10060,0000-0001-6584-4827,2
10061,0000-0001-8284-7560,11
10062,0000-0002-3460-6428,2
10063,0000-0001-6667-9253,1
10064,0000-0002-1394-2553,7
10065,0000-0001-5617-9669,23
10066,0000-0002-5205-9616,19
10067,0000-0001-8500-469X,4
10068,0000-0002-8256-519X,10
10069,0000-0001-9884-2983,3
10070,0000-0001-6619-1186,5
10071,0000-0002-5230-9718,4
10072,0000-0003-0410-5814,7
10073,0000-0003-3948-5845,5
10074,0000-0002-8162-803X,16
10075,0000-0002-3903-8327,8
10076,0000-0002-8565-9415,15
10077,0000-0003-2955-2266,7
10078,0000-0003-2752-0690,10
10079,0000-0003-0424-6676,16
10080,0000-0002-2737-7970,21
10081,0000-0002-6831-4781,5
10082,0000-0001-8641-4287,10
10083,0000-0003-2497-4080,6
10084,0000-0002-7236-4378,10
10085,0000-0003-4610-7367,9
10086,0000-0001-5602-7518,17
10087,0000-0003-1279-9940,18
10088,0000-0002-5591-5596,6
10089,0000-0001-5197-2270,15
10090,0000-0001-7714-5302,20
10091,0000-0002-2113-9920,11
10092,0000-0002-6607-418X,3
10093,0000-0003-2096-0618,16
10094,0000-0002-2967-2527,20
10095,0000-0001-6074-7825,16
10096,0000-0002-9078-9919,18
10097,0000-0002-9153-079X,15
10098,0000-0001-6677-6504,10
10099,0000-0002-2562-3461,8
10100,0000-0003-1980-1230,20
10101,0000-0003-2742-6952,1
10102,0000-0002-2318-1700,3
10103,0000-0002-6289-4586,10
10104,0000-0001-9244-2882,17
10105,0000-0003-3616-0025,18
10106,0000-0002-5394-3729,3
10107,0000-0003-1765-0301,1
10108,0000-0002-2273-3470,21
10109,0000-0002-1396-3426,3
10110,0000-0001-9588-0431,6
10111,0000-0002-7757-4809,11
10112,0000-0002-3968-7263,13
10113,0000-0002-5555-3927,6
10114,0000-0003-2478-4607,4
10115,0000-0003-2297-0086,8
10116,0000-0001-8651-2012,4
10117,0000-0002-4863-1560,5
10118,0000-0002-9077-2092,13
10119,0000-0003-2307-0581,11
10120,0000-0002-6336-9898,8
10121,0000-0001-8903-7288,6
10122,0000-0003-2525-1407,19
10123,0000-0003-1900-1356,8
10124,0000-0002-3733-3613,16
10125,0000-0002-5922-563X,14
10126,0000-0002-9007-565X,3
10127,0000-0002-5641-1525,7
10128,0000-0002-6592-1041,16
10129,0000-0002-7482-645X,1
10130,0000-0001-9968-0373,18
10131,0000-0001-8337-0872,22
10132,0000-0001-6508-0599,5
10133,0000-0003-3918-2609,17
10134,0000-0001-9772-5881,7
